ID_REF,GSM2612096,GSM2612097,GSM2612098,GSM2612099,GSM2612100,GSM2612101,GSM2612102,GSM2612103,GSM2612104,GSM2612105,GSM2612106,GSM2612107,GSM2612108,GSM2612109,GSM2612110,GSM2612111,GSM2612112,GSM2612113,GSM2612114,GSM2612115,GSM2612116,GSM2612117,GSM2612118,GSM2612119,GSM2612120,GSM2612121,GSM2612122,GSM2612123,GSM2612124,GSM2612125,GSM2612126,GSM2612127,GSM2612128,GSM2612129,GSM2612130,GSM2612131,GSM2612132,GSM2612133,GSM2612134,GSM2612135,GSM2612136,GSM2612137,GSM2612138,GSM2612139,GSM2612140,GSM2612141,GSM2612142,GSM2612143,GSM2612144,GSM2612145,GSM2612146,GSM2612147,GSM2612148,GSM2612149,GSM2612150,GSM2612151,GSM2612152,GSM2612153,GSM2612154,GSM2612155,GSM2612156,GSM2612157,GSM2612158,GSM2612159,GSM2612160,GSM2612161,GSM2612162,GSM2612163,GSM2612164,GSM2612165,GSM2612166,GSM2612167,GSM2612168,GSM2612169,GSM2612170,GSM2612171,GSM2612172,GSM2612173,GSM2612174,GSM2612175,GSM2612176,GSM2612177,GSM2612178,GSM2612179,GSM2612180,GSM2612181,GSM2612182,GSM2612183,GSM2612184,GSM2612185,GSM2612186,GSM2612187,GSM2612188,GSM2612189,GSM2612190,GSM2612191,GSM2612192,GSM2612193,GSM2612194,GSM2612195,GSM2612196,GSM2612197,GSM2612198,GSM2612199,GSM2612200,GSM2612201,GSM2612202,GSM2612203,GSM2612204,GSM2612205,GSM2612206,GSM2612207,GSM2612208,GSM2612209,GSM2612210,GSM2612211,GSM2612212,GSM2612213,GSM2612214,GSM2612215,GSM2612216,GSM2612217,GSM2612218,GSM2612219,GSM2612220,GSM2612221,GSM2612222,GSM2612223,GSM2612224,GSM2612225,GSM2612226,GSM2612227,GSM2612228,GSM2612229,GSM2612230,GSM2612231,GSM2612232,GSM2612233,GSM2612234,GSM2612235,GSM2612236,GSM2612237,GSM2612238,GSM2612239,GSM2612240,GSM2612241,GSM2612242,GSM2612243,GSM2612244,GSM2612245,GSM2612246,GSM2612247,GSM2612248,GSM2612249,GSM2612250,GSM2612251,GSM2612252,GSM2612253,GSM2612254,GSM2612255,GSM2612256,GSM2612257,GSM2612258,GSM2612259,GSM2612260,GSM2612261,GSM2612262,GSM2612263,GSM2612264,GSM2612265,GSM2612266,GSM2612267,GSM2612268,GSM2612269,GSM2612270,GSM2612271,GSM2612272,GSM2612273,GSM2612274,GSM2612275,GSM2612276,GSM2612277,GSM2612278,GSM2612279,GSM2612280,GSM2612281,GSM2612282,GSM2612283,GSM2612284,GSM2612285,GSM2612286,GSM2612287
205483_s_at,8.500171438,8.677023959,8.845091787,11.13926809,8.023006244,8.079331611,7.801183638,7.657375229,8.413645396,8.759455222,7.475864117,8.914388767,9.089934496,8.619666208,8.217543588,9.364263623,8.063342188,9.378155323,8.188230404,11.85449059,8.171831728,8.642224345,8.153587013,8.861747191,8.010600875,8.747688724,7.996855265,8.502479901,8.211451919,8.409109964,8.372030344,8.383674407,7.70453207,8.524782929,8.88039817,7.746951364,8.063225057,8.241711146,8.856629453,8.612605134,8.519214213,9.121981729,8.562032819,8.49741551,8.98772698,8.525269622,7.742830968,10.62673131,8.764320166,8.281189094,8.069310947,9.012677282,8.393653901,8.528356487,8.882302379,9.276051405,8.684111125,10.11691628,8.517632786,8.996448062,8.977508032,9.488403508,8.935372377,8.746187659,8.465804504,8.715904347,8.881043702,7.352839156,8.408567266,8.474525664,10.26432595,8.680506507,7.314636213,9.300654409,7.921835474,11.94774183,7.944455724,8.268702964,8.038467304,9.668418366,8.484998371,9.213250753,8.49412414,8.205748089,9.089421719,7.884109954,8.064342728,8.40865773,8.994751923,8.58305758,7.950074256,8.515637678,8.033360481,7.79197299,8.755414373,7.417188692,8.353207268,10.27100604,8.816494079,8.971847465,9.105935578,9.259595799,8.798531532,9.762512638,9.963938947,9.945390167,8.366011549,9.494926987,8.38202276,8.724935085,9.085730914,8.936639408,9.443396604,8.134250128,8.362482578,8.064007476,9.145355504,8.171277306,8.145183738,8.863143225,8.018131151,7.94515546,8.549785502,8.824157144,8.727124453,9.748244941,8.986862537,8.157868717,9.151566109,8.832121019,9.812270044,8.304044567,9.402524648,8.770164615,8.703169857,10.29368599,9.319847708,8.269449236,9.741880338,8.538572261,8.126304594,8.401120543,8.082649031,9.337769854,8.130047451,9.057508167,9.128087123,8.673908886,9.906075298,8.926146998,8.514132211,9.757401217,9.446852747,8.548733253,8.473773916,9.952408781,8.669994047,8.512765663,9.855541821,9.83553321,8.466906953,7.916970937,8.326625165,8.627148722,8.969728959,8.228430302,11.2421041,9.012044067,8.819871842,9.921635652,8.390406246,9.598936871,9.477010294,8.708797237,9.364230308,10.91538561,8.605502448,9.151833201,8.311909015,9.111112828,8.469159533,8.401560074,8.919790425,8.592575696,9.06447973,10.46961384,9.900814939,9.082920192,8.714198063,8.951800342,8.597650366,8.496809623
1557055_s_at,6.937608171,6.520289252,5.897965587,6.338544519,7.317568225,7.025924434,6.176119789,6.839213649,7.052078348,7.085802793,5.949529208,6.169108586,6.18034531,6.159294341,6.561875422,6.802643496,6.036559781,6.340345934,7.560253297,6.126365199,6.047155793,7.385150733,7.114136735,6.898490194,6.272575696,6.450145676,6.709703486,6.441205633,6.502157675,7.140990263,6.699698004,7.030655071,7.328037289,6.314870183,7.179674654,5.778811767,6.491345682,6.983915657,6.732483765,6.219597254,7.022511747,5.350238442,7.389904491,6.975285896,6.438415,7.189625448,6.780274817,6.829608167,6.335135837,6.428422578,7.079601575,6.812875039,6.30544334,6.548838005,7.122046008,6.644874015,6.321937941,6.601682949,6.73119849,6.512024075,6.185003184,7.262886458,5.910415417,6.21204957,7.624674425,7.056743795,6.214939375,6.604922295,6.895074295,6.581394691,6.454532898,6.213408718,6.147451589,6.15324981,5.795196276,7.019915935,6.722945801,6.274435465,6.757887328,5.592715044,7.506802385,4.963170723,6.348871995,6.92502794,5.971927981,7.15258868,6.616137707,6.337695549,6.650293516,7.066172542,4.281865628,7.095621671,6.950008542,6.067759794,7.635171954,6.411160859,7.299299115,7.255032222,7.682364752,7.557643007,7.854523021,7.51253098,7.421586953,7.409860431,7.313637979,7.627390922,8.17711447,7.33651825,7.799959755,7.246642529,7.015176541,7.036896229,7.549014207,7.666731007,7.022788196,7.415857425,7.911331159,7.493738768,7.244819639,7.59553318,7.899496499,7.646435253,7.629229195,7.353002308,7.447488055,7.463587747,7.466362501,7.580217547,6.932374323,7.181250655,8.265532874,7.884781948,7.309267182,7.46564084,7.377218803,7.601755904,7.300895752,7.817630233,7.818051127,7.398741149,7.92436836,7.743188253,7.373172599,7.75283996,7.518231112,7.555258182,7.472996451,7.290116112,7.451904866,7.713279715,7.576640707,8.001968881,7.762015925,7.666733366,7.301727253,7.507103974,7.47971749,7.754649314,7.819976518,7.392664603,7.395004205,7.941196796,7.920808725,7.490566072,7.364998209,7.063252976,7.053274659,8.180181906,7.346646845,7.631364845,7.405246034,8.392920057,8.005230265,7.906969426,7.327509983,7.485226786,7.822682027,7.981822361,7.771102857,7.698959104,7.498787564,7.702524873,7.425495935,7.071036349,7.444700233,8.159907487,8.724986005,7.536009169,7.538200838,8.36607222,8.037518035,7.105626419
220399_at,4.342332087,5.000730122,5.102948434,4.672284719,4.851572667,5.224005116,5.332551024,4.081394066,5.12243334,4.714265194,4.093427693,4.816329713,4.599412969,4.585902083,4.287712554,3.968529277,5.70159092,4.022788941,3.856125153,4.110784169,4.312115103,4.177738629,4.721519211,4.339463243,3.840429119,4.667053637,5.324488488,4.423449928,5.037630132,4.496168464,3.815461952,4.197693475,4.432885932,4.868796998,4.139683438,5.487371679,4.610028828,4.758880084,4.386914824,4.673752327,4.528425919,4.580852195,5.113397887,4.950751991,4.117866215,4.494519965,4.604210938,3.755373252,4.09411393,4.49236319,4.818933767,4.097584385,4.385359622,4.745386409,4.761713753,5.055042829,5.28700826,4.093693565,5.143728952,4.707812429,4.933323813,5.281486137,3.561141404,4.658030763,4.923432901,3.999221265,4.608563132,4.151345493,4.277538995,4.722639581,4.637964143,4.088710239,5.366609124,4.188379646,4.176582118,5.411397802,3.764376101,3.525442285,5.201400728,4.912806103,4.141017348,3.345243844,4.834274876,4.541034728,4.294063256,4.541766901,4.236493574,4.270513769,4.776865278,4.724384235,4.360949391,4.047063291,5.762513225,4.219320061,4.616928949,4.85765468,5.71984539,5.369820209,4.912434764,5.518386382,4.968225505,5.356492724,5.728185928,5.316962057,5.247958937,5.16104786,5.817669845,5.371569691,5.996689934,5.142544517,5.083431655,5.198564548,5.086927383,5.716674073,5.495273596,5.731776014,5.342198285,5.201184123,5.288607244,5.75894704,5.406715385,6.078617067,5.707266441,5.454107744,5.802708799,5.643210455,5.624253831,5.546641693,5.508607253,5.109555611,4.836819729,5.328488631,5.207974818,6.259073278,5.96462384,4.768342765,5.903327417,5.161771334,5.276435901,5.875817898,5.51715952,5.722695774,5.7404854,4.863288179,5.152774612,5.240098802,4.893886999,4.77272593,5.143389934,5.603996604,5.807868285,5.179808376,5.57331435,6.155018602,5.262571444,4.185989767,4.779493948,4.926516756,5.822206124,5.177543609,4.479566785,5.221981081,6.376064016,5.366135153,6.575709672,5.291410847,5.479116757,5.322136835,5.350768627,5.736376678,5.426914089,5.284121933,4.772288572,5.306239136,5.321594917,4.284084559,5.462426234,5.03183425,5.497697807,5.801049318,5.469148398,5.393071898,5.096673409,5.096958577,5.345180139,5.469696284,6.012943462,5.383187223,5.363823453,5.277475587,5.455577763,4.709384132
227201_at,4.241163862,4.560772899,4.483729608,4.979639685,5.213509507,4.192857523,4.410060714,4.273714898,4.040426528,4.818441838,5.086679255,4.549105329,4.617498564,4.162727601,4.64706528,5.012683016,4.951770434,3.669839953,4.587073487,5.156585106,3.970973633,4.84107026,5.134324611,4.876817537,4.811282933,4.836147641,4.382071626,4.557125276,4.871458474,4.970787982,4.374068938,4.636435165,4.987220484,4.578489029,5.028911549,4.317491597,4.5503108,4.654464538,5.074717525,4.030720506,5.357119897,3.802304063,5.559344934,5.235071348,4.979948578,4.799408335,4.967161068,5.05278636,4.719013364,4.834921271,4.899041881,4.160051477,4.359546121,4.80404715,4.783038522,4.867906784,5.1588219,3.741841077,4.520071525,4.207937045,4.637132756,5.050821658,4.871505622,5.086513578,6.093168413,5.305844681,3.815845246,4.502903972,5.259343918,3.986279026,5.355288326,4.838205254,5.011147837,4.152457281,5.16657649,4.8624318,4.96799345,4.667201663,4.431382547,5.036642637,5.181046152,3.884142452,5.081210758,4.245603791,5.35668991,4.942195319,3.821739688,4.390449231,4.609642839,4.998993811,4.721880278,4.583498427,4.977985002,4.559208668,4.297935055,4.847970691,5.19606422,5.536575754,5.635527981,5.302927124,5.586644011,5.747571073,5.4166622,5.272722562,5.430186301,5.554194785,5.929225322,5.343665029,6.007665289,5.423697509,5.409840563,5.282939175,5.548818757,5.893270476,5.395712901,5.245958217,6.226581885,5.319475231,5.245295706,5.899920873,5.681070146,5.422218735,5.623143654,5.423607686,5.806006396,5.721625559,5.665244438,5.546613141,5.079516654,5.46586099,6.055831186,5.680243307,5.437267727,5.854243806,5.357724262,5.603506707,5.109699366,5.651648059,5.817632651,5.694376071,5.452967739,6.225677685,5.595419908,5.46635761,5.280632644,5.373665117,5.844130222,5.639292212,5.812206987,5.619137132,5.51437152,5.480590769,5.784650964,5.321016756,5.694500477,5.688381464,5.534930418,5.514115871,5.715024578,5.438994315,5.169333866,5.552438128,5.553294676,5.464849084,5.332330604,5.482011106,4.916262324,5.882754255,5.308362694,5.376555283,5.658607355,5.241667043,5.881740263,5.437361374,5.530221569,5.757075987,5.888066736,5.384567695,5.187027054,5.763940087,5.368097503,4.912191621,5.564525896,5.335373088,5.625100708,5.452410456,6.121343121,5.54684804,5.665886691,5.994947144,5.77103278,5.625754527
235497_at,4.046316695,3.832698668,4.325884618,3.165374205,4.311032153,4.266476078,3.76322294,3.752911392,4.445936599,4.078367978,4.165062598,4.213176461,4.489049218,3.654301959,3.232103635,4.310025651,4.654612718,3.554682548,4.053475152,4.220623743,3.318447536,3.973213111,4.305059558,4.032839985,4.677401214,3.730819797,3.759772033,3.223536126,4.147959324,4.079468973,4.433636003,3.462487161,4.123572623,3.392955392,2.69841349,3.753818234,4.45295427,3.161768558,3.79356596,3.843125956,4.05458224,3.217973119,3.731029714,3.695624829,4.235547233,3.78049997,3.42170109,3.727370408,4.262346578,4.087790995,4.212314471,4.184782102,3.374854716,4.090300186,4.263245332,3.333356064,4.028766846,3.02977838,4.135112149,3.739056727,4.271500553,3.838645445,3.622110533,4.280101621,4.244671971,3.912725436,3.750281281,4.037531281,3.818156789,4.094379432,2.629630005,4.948465355,4.643958255,3.937062144,4.499696562,4.457024701,4.061078842,3.843948678,4.311669457,4.13183854,3.229035745,2.761062848,3.096219088,4.360040678,4.278838293,4.593570125,3.428235705,3.517411073,3.88525833,3.978789544,4.402428752,4.425966532,3.475648216,3.698701187,3.933393036,3.820333031,3.763832191,4.681514986,4.795760761,4.564293456,4.296761189,4.68120288,4.314687953,4.159072756,4.234364122,4.453782025,4.840400073,4.068541195,5.322608497,4.495213423,4.535993463,4.303666774,4.705879974,5.142904291,4.837461444,5.274603954,4.116693767,4.633557513,4.267960939,4.751960489,4.748020461,4.610069388,4.661502958,3.515407019,4.155512821,4.711407222,4.316132869,4.916888538,4.415740662,4.007196256,5.017411558,4.45805277,4.40775982,4.634875653,4.329585692,4.37305473,4.103160652,4.115877997,4.656143032,4.783415648,4.680404419,5.143198539,5.024316974,3.770918884,4.333319318,4.452385051,4.308454144,4.376665053,4.187079337,3.9189118,4.76516646,4.286864571,4.303081731,4.815799311,4.93254138,4.346399801,4.392478821,4.228485752,4.97743667,4.823157468,3.6802166,4.825567115,5.201236963,4.05221534,4.160601656,4.422493744,4.063409101,4.321092593,4.028687022,4.544683306,4.73998652,3.933991039,4.521120751,4.14985796,4.966456026,3.428097522,5.069885532,4.137351813,4.39813651,4.174049234,4.35455912,4.46845167,4.263442966,3.5190275,4.001598506,5.079534522,4.253370637,4.066366303,4.290808111,4.955356134,4.187566049,3.43322453
229792_at,6.381709602,6.243341531,6.135439226,6.151468157,6.013668113,5.361252671,6.291900158,6.392947517,6.516268931,6.4533126,6.042461297,6.26005537,6.88117455,5.92622317,5.405942997,5.692424965,6.157876064,5.787222225,5.930607606,6.350059156,6.714922738,6.120914487,5.681316062,6.052304471,6.542242543,6.806306092,6.275850239,5.956948708,5.584136223,5.91110434,5.915058006,6.444495469,5.789802462,6.006252049,5.903861506,6.310064071,6.244795706,6.228857626,6.688762019,5.810396517,6.498325139,6.59486398,5.792147637,6.771261733,6.521325738,5.980521873,6.05821947,5.45173817,6.012876354,5.80216857,6.516407848,7.312737674,5.885572744,5.839316528,6.611362694,6.202217605,6.610737652,5.637051951,6.606326008,5.82069839,6.329110985,6.337413207,6.071263347,6.543050169,7.183628661,6.675826297,6.526971583,6.502327103,6.23412842,6.005936434,7.359479483,6.65290226,6.775584223,6.097104455,6.384802089,5.839835413,6.071683614,5.478344627,6.292325316,6.498658381,6.191506528,6.829045189,5.754527003,6.046198128,5.302994415,5.967037215,5.822066705,5.639056923,5.847140841,6.146600623,4.711170406,5.882479146,5.95322454,6.59892212,6.14671511,5.799539026,5.932875693,5.993794487,5.579192731,6.008574085,6.282655919,5.750888304,5.865703882,6.142164398,6.122923071,6.068352733,5.510231733,6.002877689,5.988991424,5.618694436,5.574865622,5.687113095,5.988895831,5.573446236,5.656509971,5.845397312,6.039136489,5.584462459,5.835798624,6.103240411,6.101072244,6.08440374,5.78701523,6.095067506,6.536259503,5.726578857,5.71888567,5.512614434,6.132570823,5.985462974,5.817609275,5.978490484,5.371000633,6.390160158,6.08405697,6.155701729,5.507076628,5.984224624,6.107671872,6.057036312,5.951341107,6.411948626,6.065847492,6.598219687,5.781280142,6.064775482,6.117838455,5.9577357,6.146071138,6.231721166,6.097238631,6.160173726,6.154669077,5.790976789,5.942477554,6.235788485,5.990283116,5.990858361,6.077416377,5.622123485,5.367406203,5.461321908,5.686726729,5.972554237,6.028425782,5.655611921,5.531133723,5.918929474,5.96768217,5.832996435,5.89532558,5.936772277,5.064521309,5.728761973,6.028491928,6.074193097,5.804267348,5.609710562,6.101867536,5.443150798,5.514865165,5.71266852,5.572954159,5.589773947,5.628334512,5.871911269,6.090971699,5.80149956,5.767804067,5.448972918,5.593496055,5.542220657
224125_at,7.388201037,6.104307902,6.280789009,6.428311133,6.931303079,6.313860192,6.38875575,6.744281602,6.686782888,6.910138157,6.484666415,6.796475191,6.859348149,6.335830354,6.465126737,6.974782973,6.330157266,6.913069464,6.712136255,7.101566692,6.582430981,6.377325107,6.672007535,7.429995468,6.777587652,6.765291331,6.852114826,7.42213987,6.49170928,7.11580388,7.156050749,6.677547842,7.379271677,6.835524925,6.839552783,6.948984875,6.677687348,6.53074085,7.12360675,7.064563621,6.545665016,6.878971765,6.939162024,6.939200797,6.745433952,6.802870105,7.184658791,6.863617184,7.035020573,6.266419015,6.560172224,7.117871481,7.341090796,6.954570981,7.576015648,6.832146882,6.898855437,6.767742304,6.766006206,7.058381248,6.357629647,6.590259567,7.589630067,6.972598953,7.297525386,6.79953191,7.096940983,6.757141395,6.604974196,6.643991764,6.910811274,6.448958937,6.288077853,6.602183785,6.57001806,7.260774027,7.117487019,6.675488459,6.676079219,7.076766709,7.218871075,6.634055351,7.266133304,6.503135463,6.9490008,6.662003147,6.904773304,6.955812365,6.644963132,6.6450656,7.480826456,7.227163481,6.871989601,6.981136888,6.478962481,6.590741534,6.183765107,6.340291262,6.266108241,6.62327664,6.302459329,6.269026546,6.328008649,6.373488106,6.495996853,6.428494191,6.078423516,6.576858166,5.913928404,6.241835136,6.787771987,6.320992649,6.364512766,6.345249206,6.156038608,6.011631116,6.349787912,6.433893139,6.321358221,6.460291882,6.332944452,6.29258259,6.047016814,6.695090818,6.587006477,6.256091442,6.203019414,6.45097058,6.407489161,6.582498613,6.518381845,6.212996659,6.56771844,6.192077456,6.330428833,6.452705086,6.440401926,6.30119543,6.48935189,6.355231847,6.139096548,5.704778204,6.040755269,6.172038944,6.418425169,6.446518697,6.160790331,6.485744452,6.568034166,6.578613814,6.272928252,6.56005364,6.559527579,6.027504423,6.124431729,6.512054535,6.13728266,6.40390317,6.045866513,6.335756335,6.821064443,6.165684256,6.175464653,6.398376987,6.543264276,6.257180356,6.414234515,6.213824439,6.445991868,6.409960282,6.108959616,6.489088755,6.267470785,6.452151444,6.052037995,6.728250228,6.071414073,6.511286223,6.029633241,6.508958508,6.370040588,6.460373084,6.129791285,6.389735718,6.385735852,6.374589448,6.523094469,6.822797913,6.236441708,6.360647387,6.318636748,6.79956829
236624_at,4.457057922,4.753857913,4.406756011,4.221838648,3.382057803,4.519240358,4.634283799,4.290700618,4.330235567,3.918090776,4.644746032,4.145063663,4.399836787,4.214682862,4.199086862,4.872841269,4.193246324,4.550985621,4.602520905,4.212102442,3.547433161,3.910161003,3.676871784,4.760499276,4.220571985,4.538727856,4.64987421,4.418831614,4.710699021,4.79067952,4.863229264,4.658309726,4.584278971,4.359294107,3.92204785,4.801104875,4.23895392,4.401846664,4.473791508,4.204418339,5.196808383,4.184651074,5.042328477,4.201305705,4.111418471,4.336363296,4.168831366,3.556626789,4.806060554,4.315065006,4.17317175,4.333298071,4.537903609,3.784572928,4.632456918,4.933167486,4.655472278,4.241310237,4.397709687,4.609565909,4.357368502,4.299150617,4.635239272,4.086806218,4.257129675,3.774711604,5.493505233,5.472557136,4.367450714,4.552772844,4.869423961,4.364734439,3.999100773,5.152546757,3.741847164,4.333858409,4.197838388,4.20745172,3.93077936,3.900013962,4.068455059,4.966863094,4.604019,4.05364456,4.642330535,4.364694954,4.127095207,4.227849343,3.97555315,4.162795426,4.620447131,4.254246756,3.977656666,4.278437639,4.104939539,4.2826052,4.116862763,4.270028717,3.795186245,4.169663528,4.216289323,4.401672467,3.954936058,3.889670939,3.850256053,4.280946122,4.432867517,4.406525111,4.256670934,4.289105476,4.282784199,3.808060827,4.101256456,4.526499246,4.458174578,4.337147069,4.503940689,4.407231509,3.820763614,3.989638642,4.109353208,4.253165954,4.77284309,4.274028696,4.208691382,4.455923136,4.392937027,3.644036706,4.329739766,4.270489767,3.451548855,4.478940964,3.424121418,3.379050179,3.921791073,3.97017892,4.030904417,3.893784366,4.197387693,4.294307731,4.36441617,4.167511368,4.098264082,4.150289828,4.041109145,4.311694653,4.514490891,4.618307729,4.363548979,4.050633994,4.043660744,4.010145265,4.158936158,3.827618103,3.998346039,4.520518164,4.228221919,4.354341954,4.490402643,4.144836076,4.208731724,4.428142429,3.528257129,4.134765772,4.17932784,4.029216243,4.626064009,4.405215896,3.924190355,3.952239935,4.226857497,4.092548071,4.336099338,3.465542175,4.228221919,4.064559598,4.394869557,4.109830345,4.00062319,4.070573443,3.81184175,4.076192367,4.308863295,4.265421626,4.188716445,4.228221919,4.125096885,4.218505271,3.827587323,3.668302804,3.984645879,3.32358478
212285_s_at,6.714781968,6.955073653,6.676869133,7.033241104,6.30687454,6.23261043,6.463649877,6.355857727,6.327052123,6.634672513,6.340176588,6.689729221,6.842158511,6.431955512,6.341997964,6.850194153,6.40103557,6.79670395,6.89310107,7.901717435,6.594221725,6.293980237,5.649745483,7.219418086,6.297529002,7.102708152,6.607055887,6.470519567,6.511645613,6.323462969,7.015064596,6.592386572,6.750440377,6.54780139,6.905382142,7.06547948,6.675933103,6.602385186,6.935829877,7.10897117,6.445759962,6.192380013,5.933444637,6.451255247,6.521050739,6.629182176,6.548009973,6.610655232,6.875325265,6.196778426,6.368536222,6.696832698,6.728631503,6.744872952,6.67909875,6.550055004,6.622897508,6.668036944,5.640187066,6.80122709,7.06056246,6.318094189,7.303863179,6.917582614,6.882839408,6.503061274,6.655000432,5.965836411,6.097650766,6.509879213,7.024319106,6.304816559,6.102048027,6.458383166,6.193600706,7.832653782,6.949959457,5.992431299,6.023658385,6.450506889,6.126064921,6.35619887,6.488916298,6.569840506,5.608622861,6.859517011,6.48601951,6.878704259,5.947985421,6.752448066,6.434891985,6.795123232,6.783529231,6.821416122,6.742836737,6.341600354,6.661801431,7.405255017,6.576482388,6.671127095,6.91805868,6.411763076,6.340191322,6.980412804,7.45720438,6.842656772,6.598883807,6.480534204,6.331920057,6.310958,6.693436202,6.582517005,6.459470362,6.509444667,6.263498404,6.50122781,6.437525111,6.606172009,6.599642825,6.865081121,6.352536726,6.339519567,6.172204503,6.497928754,6.537977953,7.038625232,6.729743842,6.246087065,6.657449988,6.576009713,6.610910017,6.374233315,6.518257501,6.533172536,6.211596269,6.867959538,6.550093937,6.123551906,6.923525996,6.514798253,6.557327064,5.922922453,6.479470401,6.744904531,6.066196931,6.781351787,6.521578038,6.885328067,6.821563014,6.218263248,6.716007841,6.921842266,6.753391813,6.143805337,6.320993345,6.420367748,6.143718696,6.299961312,6.596478246,6.53471877,6.507206969,6.686311559,6.128830985,6.725042545,6.386366773,6.505930867,7.459624511,6.487266,6.748954563,6.754664138,6.491673914,6.758829054,6.333318804,6.681630463,6.695021611,6.9760892,6.378116561,6.468860715,6.496827589,6.292087767,6.558116783,6.567993052,6.222851912,6.611421453,6.367467164,6.721563958,6.79941599,6.287512015,6.525453841,6.565994361,6.549711286,6.05247362
